Date,30 Yr FRM Rate,30 Yr FRM Points,15 Yr FRM Rate,15 Yr FRM Points,5/1 ARM Rate,5/1 ARM Points,5/1 ARM Margin,30 Yr FRM / 5/1 ARM Spread
2012-01-01,3.91,0.8,3.23,0.8,2.86,0.7,2.74,
2012-02-01,3.87,0.8,3.14,0.8,2.8,0.7,2.74,
2012-03-01,3.9,0.8,3.17,0.8,2.83,0.7,2.74,
2012-04-01,3.98,0.7,3.21,0.7,2.86,0.8,2.74,
2012-05-01,3.84,0.8,3.07,0.7,2.85,0.7,2.74,
2012-06-01,3.67,0.7,2.94,0.7,2.84,0.7,2.74,
2012-07-01,3.62,0.8,2.89,0.7,2.79,0.6,2.74,
2012-08-01,3.55,0.7,2.83,0.6,2.75,0.6,2.75,
2012-09-01,3.55,0.7,2.86,0.6,2.75,0.7,2.74,
2012-10-01,3.36,0.6,2.69,0.5,2.72,0.6,2.74,
2012-11-01,3.39,0.7,2.7,0.7,2.74,0.6,2.74,
2012-12-01,3.34,0.7,2.67,0.6,2.69,0.6,2.74,
2013-01-01,3.34,0.7,2.64,0.6,2.71,0.6,2.76,
2013-02-01,3.53,0.8,2.77,0.7,2.63,0.6,2.7563584077380954,
2013-03-01,3.52,0.7,2.76,0.7,2.63,0.5,2.76,
2013-04-01,3.54,0.8,2.74,0.7,2.65,0.5,2.75,
2013-05-01,3.35,0.7,2.56,0.7,2.56,0.5,2.751079370300752,
2013-06-01,3.91,0.7,3.03,0.7,2.74,0.5,2.748951547619048,
2013-07-01,4.29,0.7,3.39,0.7,3.1,0.7,2.7532222023809525,
2013-08-01,4.39,0.7,3.43,0.7,3.18,0.6,2.7411767073934836,
2013-09-01,4.57,0.7,3.59,0.7,3.28,0.5,2.75,
2013-10-01,4.22,0.7,3.29,0.7,3.03,0.6,2.74,
2013-11-01,4.16,0.8,3.27,0.7,2.96,0.5,2.75,
2013-12-01,4.46,0.5,3.47,0.4,2.99,0.4,2.74,
2014-01-01,4.53,0.8,3.55,0.7,3.05,0.4,2.74,
2014-02-01,4.23,0.7,3.33,0.7,3.08,0.5,2.74,
2014-03-01,4.28,0.7,3.32,0.6,3.03,0.4,2.75,
2014-04-01,4.41,0.7,3.47,0.6,3.12,0.5,2.75,
2014-05-01,4.29,0.7,3.38,0.6,3.05,0.4,2.74,
2014-06-01,4.14,0.5,3.23,0.5,2.93,0.4,2.73,
2014-07-01,4.12,0.5,3.22,0.5,2.98,0.4,2.73,
2014-08-01,4.14,0.7,3.27,0.6,2.98,0.5,2.73,
2014-09-01,4.1,0.5,3.24,0.5,2.97,0.5,2.74,
2014-10-01,4.19,0.4,3.36,0.5,3.06,0.5,2.74,
2014-11-01,4.02,0.5,3.21,0.5,2.97,0.5,2.74,
2014-12-01,3.89,0.5,3.1,0.5,2.94,0.5,2.74,
2015-01-01,3.73,0.6,3.05,0.5,2.98,0.5,2.74,
2015-02-01,3.59,0.7,2.92,0.6,2.82,0.4,2.74,
2015-03-01,3.75,0.6,3.03,0.6,2.96,0.5,2.74,
2015-04-01,3.7,0.6,2.98,0.6,2.92,0.5,2.74,
2015-05-01,3.8,0.6,3.02,0.6,2.9,0.4,2.73,
2015-06-01,3.87,0.6,3.08,0.5,2.96,0.5,2.74,
2015-07-01,4.08,0.6,3.24,0.6,2.99,0.4,2.73,
2015-08-01,3.91,0.6,3.13,0.6,2.95,0.4,2.74,
2015-09-01,3.89,0.6,3.09,0.6,2.93,0.4,2.74,
2015-10-01,3.85,0.6,3.07,0.7,2.91,0.4,2.74,
2015-11-01,3.87,0.6,3.09,0.6,2.96,0.4,2.75,
