Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
"Allen, TX",January 2012,$182K,71,120,341,66,97.7%
,February 2012,$182K,104,153,353,65,96.9%
,March 2012,$182K,109,193,392,53,97.3%
,April 2012,$202K,119,185,411,46,97.6%
,May 2012,$205K,153,195,417,37,97.4%
,June 2012,$201K,173,170,412,32,97.3%
,July 2012,$224K,146,180,423,44,97.1%
,August 2012,$208K,161,139,360,39,97.4%
,September 2012,$205K,122,96,314,48,97.8%
,October 2012,$196K,128,143,314,40,97.1%
,November 2012,$213K,100,106,279,51,97.4%
,December 2012,$198K,118,58,233,41,97.7%
,January 2013,$210K,74,122,245,45,96.7%
,February 2013,$220K,102,152,257,44,97.3%
,March 2013,$222K,141,178,277,24,98.2%
,April 2013,$260K,143,178,287,28,98.3%
,May 2013,$235K,161,202,276,24,98.8%
,June 2013,$255K,196,217,301,26,98.5%
,July 2013,$241K,178,215,328,24,99.3%
,August 2013,$260K,181,178,313,24,98.7%
,September 2013,$242K,134,129,287,30,98.7%
,October 2013,$236K,135,130,264,29,98.3%
,November 2013,$240K,113,83,214,33,98.3%
,December 2013,$220K,115,78,180,35,97.9%
,January 2014,$215K,71,114,192,37,97.7%
,February 2014,$250K,97,151,233,28,99.4%
,March 2014,$250K,123,184,243,24,98.5%
,April 2014,$243K,133,188,264,19,99.3%
,May 2014,$244K,166,235,315,22,99.7%
,June 2014,$285K,169,214,338,23,99.5%
,July 2014,$250K,179,197,350,21,99.3%
,August 2014,$257K,194,161,327,22,99.3%
,September 2014,$265K,141,130,277,27,98.8%
,October 2014,$255K,151,147,259,33,98.3%
,November 2014,$261K,109,85,231,27,98.9%
,December 2014,$258K,128,80,198,31,98.9%
,January 2015,$252K,78,104,194,35,98.2%
,February 2015,$285K,100,137,207,33,98.4%
,March 2015,$259K,127,159,230,20,99.6%
,April 2015,$278K,130,200,274,20,100.2%
,May 2015,$305K,151,193,294,21,100.4%
,June 2015,$305K,183,186,280,20,99.9%
,July 2015,$285K,178,234,315,26,100.6%
,August 2015,$282K,166,179,315,24,99.7%
,September 2015,$270K,158,122,277,33,98.8%
,October 2015,$270K,143,153,243,37,98.8%
,November 2015,$275K,109,102,219,24,99.3%
,December 2015,$265K,138,72,169,35,99.3%
,January 2016,$273K,78,116,192,37,99.3%
,February 2016,$300K,99,141,198,28,99.4%
,March 2016,$298K,128,182,238,20,100.0%
,April 2016,$309K,132,227,309,22,100.1%
,May 2016,$311K,170,200,306,22,100.8%
,June 2016,$325K,185,212,336,25,100.6%
,July 2016,$313K,166,201,344,28,100.2%
,August 2016,$296K,179,166,317,29,99.5%
,September 2016,$295K,144,167,341,31,99.7%
,October 2016,$306K,122,116,295,38,99.2%
,November 2016,$305K,131,95,242,37,98.8%
,December 2016,$297K,145,80,191,44,98.6%
,January 2017,$300K,90,114,188,34,99.4%
,February 2017,$305K,104,123,197,28,99.0%
,March 2017,$323K,106,201,259,28,99.4%
,April 2017,$329K,131,190,300,24,99.9%
,May 2017,$344K,166,211,331,26,100.2%
,June 2017,$344K,162,226,375,25,99.9%
,July 2017,$325K,165,201,377,29,99.3%
,August 2017,$325K,173,174,368,27,99.5%
,September 2017,$315K,128,153,357,36,98.7%
,October 2017,$293K,131,138,325,40,98.2%
,November 2017,$320K,123,87,267,43,98.5%
,December 2017,$324K,128,73,208,56,97.7%
,January 2018,$280K,88,101,188,41,98.7%
,February 2018,$328K,96,115,197,27,98.7%
,March 2018,$346K,110,174,238,27,99.2%
,April 2018,$322K,118,205,295,24,99.6%
,May 2018,$340K,129,261,400,27,98.9%
,June 2018,$350K,155,223,447,32,99.2%
,July 2018,$348K,152,203,485,31,98.8%
,August 2018,$340K,136,172,485,44,98.2%
,September 2018,$330K,94,137,470,49,98.3%
,October 2018,$338K,110,116,425,48,98.1%
,November 2018,$327K,126,114,394,57,97.6%
,December 2018,$343K,102,74,347,76,97.5%
,January 2019,$293K,71,120,329,74,97.7%
,February 2019,$315K,109,140,339,66,97.2%
,March 2019,$352K,118,209,389,47,97.7%
,April 2019,$340K,159,193,395,31,98.7%
,May 2019,$355K,153,222,447,35,98.0%
,June 2019,$385K,151,205,467,44,98.5%
,July 2019,$360K,155,202,491,41,98.3%
,August 2019,$330K,139,132,441,39,98.1%
,September 2019,$315K,126,140,409,56,97.9%
,October 2019,$316K,122,142,403,56,98.2%
,November 2019,$320K,102,101,365,56,98.2%
,December 2019,$335K,123,67,297,50,98.2%
,January 2020,$324K,81,154,316,68,97.5%
,February 2020,$339K,121,163,332,47,98.7%
,March 2020,$340K,134,157,326,32,98.9%
,April 2020,$337K,97,125,347,31,98.1%
,May 2020,$350K,123,212,371,41,98.6%
,June 2020,$377K,180,197,366,37,98.5%
,July 2020,$382K,204,189,317,31,99.0%
,August 2020,$360K,178,155,263,27,99.3%
,September 2020,$355K,150,143,226,34,99.1%
,October 2020,$360K,166,147,207,35,99.6%
,November 2020,$357K,150,92,143,31,99.7%
,December 2020,$350K,137,80,109,23,100.2%
,January 2021,$363K,90,127,123,28,100.2%
,February 2021,$375K,79,99,128,19,102.6%
,March 2021,$386K,123,176,134,18,105.0%
,April 2021,$398K,154,162,131,16,106.0%
,May 2021,$435K,169,201,153,16,106.5%
,June 2021,$465K,197,208,165,15,107.8%
,July 2021,$450K,171,201,178,20,106.8%
,August 2021,$431K,174,140,132,18,105.4%
,September 2021,$450K,147,128,120,21,103.7%
,October 2021,$440K,113,122,115,16,104.0%
,November 2021,$440K,121,88,85,22,103.9%
,December 2021,$440K,117,67,52,22,104.9%
,January 2022,$469K,74,85,65,21,104.3%
,February 2022,$498K,76,94,74,15,108.4%
,March 2022,$540K,103,131,87,14,109.6%
,April 2022,$550K,110,164,124,14,113.3%
,May 2022,$650K,123,204,197,13,109.5%
,June 2022,$617K,132,212,262,18,106.7%
,July 2022,$560K,143,160,268,20,102.2%
,August 2022,$594K,131,126,255,27,100.3%
,September 2022,$533K,104,107,239,38,98.7%
,October 2022,$493K,82,108,253,32,99.0%
,November 2022,$512K,63,70,226,35,98.9%
,December 2022,$475K,96,61,194,53,97.0%
,January 2023,$500K,52,88,170,45,97.5%
,February 2023,$490K,107,82,137,67,97.5%
,March 2023,$475K,125,116,121,32,98.7%
,April 2023,$553K,106,120,139,21,100.5%
,May 2023,$511K,102,129,140,16,101.3%
,June 2023,$602K,117,149,188,21,100.0%
,July 2023,$540K,95,140,206,23,100.2%
,August 2023,$528K,94,122,214,28,99.4%
,September 2023,$533K,72,98,212,30,98.8%
,October 2023,$500K,91,111,231,35,99.1%
,November 2023,$524K,67,82,195,34,98.6%
,December 2023,$471K,86,68,150,53,97.4%
,January 2024,$480K,70,107,161,38,98.2%
,February 2024,$489K,99,107,159,32,98.7%
,March 2024,$500K,91,124,168,23,99.4%
,April 2024,$534K,108,182,235,24,99.8%
,May 2024,$560K,120,171,272,22,99.8%
,June 2024,$549K,114,163,304,32,99.1%
,July 2024,$495K,101,151,319,38,98.4%
,August 2024,$555K,124,118,286,46,97.8%
,September 2024,$518K,104,120,299,39,97.6%
,October 2024,$490K,77,111,294,42,98.2%
,November 2024,$460K,77,73,272,39,98.0%
,December 2024,$460K,72,61,220,52,98.3%
,January 2025,$535K,65,104,232,72,97.6%
,February 2025,$525K,77,126,234,42,97.8%
"American Fork, UT",January 2012,$170K,16,36,137,95,99.3%
,February 2012,$167K,21,31,134,96,99.4%
,March 2012,$175K,28,34,135,109,99.3%
,April 2012,$175K,22,29,138,97,99.3%
,May 2012,$157K,40,39,128,78,99.2%
,June 2012,$198K,33,28,124,87,98.1%
,July 2012,$148K,17,32,133,93,98.3%
,August 2012,$183K,34,29,125,81,99.6%
,September 2012,$245K,19,33,131,113,98.3%
,October 2012,$177K,25,26,130,140,99.2%
,November 2012,$195K,27,25,115,97,98.9%
,December 2012,$175K,22,7,89,112,99.7%
,January 2013,$187K,12,29,92,81,100.1%
,February 2013,$191K,18,32,97,98,99.5%
,March 2013,$193K,26,37,107,126,99.5%
,April 2013,$175K,32,46,120,59,100.1%
,May 2013,$197K,35,44,125,66,97.6%
,June 2013,$233K,36,45,131,66,100.1%
,July 2013,$214K,26,41,140,64,100.0%
,August 2013,$204K,45,48,133,62,99.7%
,September 2013,$190K,32,44,132,68,97.9%
,October 2013,$173K,24,51,151,64,99.7%
,November 2013,$204K,32,25,138,62,98.8%
,December 2013,$195K,22,23,132,94,99.1%
,January 2014,$174K,19,30,133,109,98.5%
,February 2014,$203K,25,31,130,101,98.7%
,March 2014,$212K,30,45,139,119,99.7%
,April 2014,$242K,32,43,147,83,99.2%
,May 2014,$205K,25,50,163,76,100.1%
