city,mape,r2,annual_growth_rate,latest_signal,avg_expected_return,avg_risk,risk_adjusted_return
"Allen, TX",6.8565086406063696,0.955455836261539,8.37856240405166,sell,0.009661644472255248,0.062054620229833116,0.15569581179404843
"Yorkville, IL",8.38176613368841,0.012340668503568963,10.844442269955579,buy,0.015972884114805883,0.12789627552631896,0.12488936092215543
"Holly Springs, NC",7.850851707252502,0.9576622947970707,6.651524936512621,sell,0.010664359498692943,0.08649284140111825,0.12329759695644668
"Kingman, AZ",6.545115092910282,0.9578282116779007,6.329985623832579,sell,0.05499559054837088,0.17192282042424417,0.31988534397389123
"Katy, TX",3.5637579490763556,0.20495048534830673,5.907138386276767,sell,0.008522768980356187,0.05032698995051407,0.16934787851879327
"Gardner, KS",6.329621411785971,0.9580191200715555,7.783058010726185,buy,0.008201051460675882,0.06590702406708458,0.12443364841247122
"Hutto, TX",4.430573361343989,0.9836749286583142,9.042206572819268,sell,0.007430006114899,0.03855709549267789,0.1927013956824103
"Hurricane, UT",17.28760855973397,0.8407704313246499,9.174796931578367,sell,0.04245731982844631,0.23404201378226905,0.18140896645994792
"Garner, NC",9.732200947619004,0.9206604499666996,7.508632382489333,sell,0.005120126283899347,0.08738827303141634,0.05859054202911924
"Georgetown, TX",5.344768905685447,0.9671180301272884,6.347729672649893,sell,0.010817901670960643,0.05799984669682022,0.18651603904245703
"Little Elm, TX",6.444701579414304,0.9582920269492388,8.299822159897108,buy,0.010657006839780887,0.06208518842049381,0.17165135696460407
"Herriman, UT",4.769949718377753,0.9831108561861879,7.1734653666837955,buy,0.005819508439037685,0.06151507868079201,0.09460295855648182
"Happy Valley, OR",5.552405762385405,0.9498663272222516,4.647313605169301,sell,0.011507962680164824,0.08270949626324157,0.13913713902377237
"Goodyear, AZ",3.38918360009362,0.989031387219751,9.135083090280993,buy,0.010006618500540044,0.04968463064979398,0.2014026947502635
"Haines City, FL",3.2389503593608504,0.9931316046582138,11.469476923735922,sell,0.007962335601816735,0.06852302650473183,0.11619941511583554
"Greenfield, IN",7.2932377372073915,0.9590937020173693,7.586486843806672,sell,0.010291096746809954,0.07875006931829107,0.13068047858111115
"Greer, SC",6.156202579225295,0.9588416162593258,7.412766952919592,sell,0.00975621129506433,0.08388149387399543,0.11630946046001342
"Gainesville, GA",6.206493156525501,0.9705733500221604,16.354776923757044,sell,0.018566240387944057,0.12517248965106742,0.14832524654338639
"Lewisville, TX",4.745783848762983,0.9784835407929071,7.929154143498751,sell,0.009359038963131611,0.04903810088564018,0.19085239424253922
"Forney, TX",4.72098573974034,0.9720503964723934,9.437736210249103,buy,0.011622239308392643,0.07657999706287916,0.15176599313329464
"Leland, NC",4.263712975270411,0.9768601649058403,5.382274779309171,sell,0.011433085840992122,0.10982273390015101,0.10410491011257188
"Lehi, UT",4.774580321695402,0.29621620217789457,7.605038111799578,buy,0.007736945850307122,0.05492074287202976,0.14087474869622388
"Leesburg, FL",5.61342620122372,0.9832093591690481,13.557309231577918,sell,0.05272614690889463,0.24931075594482444,0.21148765406881834
"Leander, TX",4.343542547913647,0.15878188556923578,8.906435621609221,buy,0.009482096281509362,0.04806579973559099,0.19727324487827488
"Lynnwood, WA",7.519492942327366,0.9525031402579468,8.141015477091118,sell,0.0128105619219104,0.0727690056372735,0.17604420741663424
"Frederick, MD",5.846037314267172,0.9646072468648252,8.083462506007887,buy,0.009211486339865488,0.0559011853946268,0.16478159228356706
"Frisco, TX",5.19945485628792,0.9746648868899245,6.710794029059697,sell,0.006552879260274897,0.048453006275254146,0.135241954297923
"Lakeland, FL",3.9605393236151794,0.9892189800680332,9.002540963097427,sell,0.011492928942854074,0.07928107591011554,0.1449643412494063
"Kyle, TX",3.7884553596667905,0.32429721850853344,7.323512944677346,sell,0.006629712371224966,0.03690501035739157,0.17964260968963866
"Fuquay-Varina, NC",5.405463580727209,0.9758155695528367,7.2070366788208995,buy,0.008353595319776008,0.05828650149400049,0.14331955265209828
"Kuna, ID",3.9279788192400757,0.9873025405798578,12.775417760761588,sell,0.010176858312874983,0.05706325438635503,0.17834346152028221
"Kiryas Joel, NY",114.09675571915892,-1.0,80.59656308646301,buy,0.266702291554486,0.7543596936854844,0.3535479079634951
"Lathrop, CA",5.858580041921278,0.9755556317669193,10.409297685901553,sell,0.011620729318811692,0.06971865579568146,0.16668034095303813
"Mansfield, TX",4.875614158569626,0.981478173413711,8.079669658182587,buy,0.009319949207889889,0.058718441965688345,0.15872269249473492
"Conway, SC",4.057602640074739,0.18716739661686854,7.835512045351889,buy,0.009551667866880154,0.07639203468210976,0.12503486661439925
"Cottage Grove, MN",6.49461925907787,0.943710523227822,8.305912892674705,buy,0.006932836253629701,0.08214793293469058,0.08439453076855213
"Maricopa, AZ",3.0941082947928082,0.1471626229491787,10.826730921830618,buy,0.010777777560929472,0.03187079943952562,0.3381709197907052
"Erie, CO",5.368594852978799,0.9614982574149398,7.314937639064678,buy,0.0071822764000989674,0.062093599475565864,0.11566854652910287
"Fayetteville, AR",5.699229324743118,0.9729951524206988,6.148276458672419,sell,0.010604379226770419,0.07710515799602395,0.13753138573838666
"Marysville, OH",7.701523004936312,0.9405166734065149,9.3054566004235,sell,0.009144441059229055,0.08884193080651118,0.10292933726468341
"Ennis, TX",5.749169709800908,0.974483062248564,6.471436281767473,buy,0.02253891750676627,0.18688258247114437,0.12060469846218223
"McDonough, GA",5.366571332563523,0.9668675655804464,12.21890878797982,sell,0.016193352741099412,0.10352985600688293,0.15641239508748894
"Fairhope, AL",12.863217061317808,0.8356441339196989,11.131730413326357,buy,0.019597450587862855,0.14220450218092048,0.13781174496803122
"Easley, SC",16.384337112103093,0.8063796162029349,7.344815385908721,sell,0.01726299567464883,0.11594124587872984,0.14889434337030732
"Eagle Mountain, UT",3.9336772627663623,0.9872271224696902,10.243367243046752,buy,0.010883015575183492,0.04572927176973206,0.23798794850669144
"Meridian, ID",4.60125383160228,0.07956573681814938,10.714001250995974,buy,0.00871088708480578,0.04711409952904913,0.18488917695296095
"Mauldin, SC",4.580549612988562,0.9829866663738536,5.845123490954118,sell,0.011301238752349318,0.07242274715370542,0.15604543042760158
"American Fork, UT",6.07393778014884,0.9740297984361036,8.830454633983242,sell,0.011906244118472095,0.08161564938782549,0.14588187691670973
"Greenville, TX",5.6603624198073454,0.9762371170293974,12.46301003999497,buy,0.022312572709004042,0.16044707918398857,0.13906499777049647
"Yukon, OK",6.170105069615363,0.9320841873725666,6.688720787503355,sell,0.008911239539031356,0.09464770857590342,0.09415166698816509
"Merced, CA",3.918609418567323,0.9857049130185465,11.243970990501829,buy,0.010788939452997326,0.06634323023275637,0.16262306515895852
"Lincoln, CA",3.564885944398001,0.978462950223061,7.4788159440870805,sell,0.007299357246698993,0.0388476814765144,0.18789685688480182
"Marana, AZ",3.0902547296951064,0.9880605743699947,7.526859856015045,buy,0.008924322051554565,0.052730162035170836,0.1692451095750867
"Farragut, TN",12.182714382242047,0.8822824844634969,6.28922701408221,sell,0.015183499269961952,0.11068935717069002,0.13717216955689815
"Ocala, FL",8.297993935207717,0.9498754495340422,10.817373650465978,buy,0.019001130575000455,0.1314806152769282,0.14451659307328107
"North Port, FL",3.7998919858609397,0.9911813673773566,10.702961640738739,sell,0.14440888769763488,0.5186045895744203,0.27845663266524573
"Daphne, AL",7.2166125455366785,0.9364027092516046,4.850748165875007,buy,0.010471963307803823,0.09868321783570004,0.106116962311047
"North Charleston, SC",3.9731913784666193,0.9837366669028437,7.7338191037584325,sell,0.014014573521928591,0.06079192183536624,0.23053348370663762
"Daytona Beach, FL",10.57020418235734,0.943170105011089,11.878430040844744,buy,0.015133714519706534,0.11429240449057278,0.13241225072795468
"New Braunfels, TX",4.01087506926148,0.18746601197351342,4.821040875372762,buy,0.006917471895674569,0.047107365627790186,0.14684480449048343
"Manteca, CA",3.85368234974095,0.9816918908475745,9.926971370429637,sell,0.009717621108034086,0.05346053970575301,0.18177184819906242
"Nampa, ID",3.028317046079515,0.9946812605280431,13.749374203136666,sell,0.013745467030703526,0.04025035332079242,0.34149928874296187
"Myrtle Beach, SC",11.899754770177013,0.8828707959295803,8.732405492870132,buy,0.01652258020966849,0.12698231773296587,0.1301171730414798
"Delaware, OH",6.789612813597813,0.9595136281787501,6.6085991653456855,buy,0.010981056838375932,0.0794329087994821,0.1382431665205181
"Denton, TX",3.5227589837408146,0.9886398093658794,8.15630994569605,buy,0.008244491210028423,0.03857010637554712,0.21375339569338883
"Midlothian, TX",9.552974785768182,0.9333826447041866,8.891447516427808,sell,0.016196776637335323,0.09321773687636666,0.1737520903217901
"Douglasville, GA",7.659401586465919,0.9616536651161054,11.56024250828509,buy,0.0225515078714435,0.1404937205681838,0.16051612684354033
"Mesquite, NV",15.25502238814845,0.8364423110693865,10.607389816621016,sell,0.08919466632788757,0.42237980403104364,0.21117171199154217
"DeLand, FL",6.422840277764832,0.9701414579917996,10.763753704629607,sell,0.01753838271308634,0.10986141384201148,0.15964097038026273
"Foley, AL",11.338232659145058,0.9144459521335481,6.787131815308811,sell,0.018091044872882437,0.10606944586538712,0.17055849330863676
"Palm Coast, FL",3.0364127682913695,0.9910390554985661,9.994048150602453,sell,0.010038552720776993,0.04420873970580692,0.22707167830569047
"Parkland, FL",10.552032790541729,0.9153653671819323,6.82024504201697,sell,0.011159688300255011,0.08175563685870647,0.1365005365873628
"Raymore, MO",6.922166819876329,0.9391499928659495,6.904740836504009,sell,0.013721527886847943,0.1097417973265309,0.12503465608477565
"Cleburne, TX",5.704952271436014,0.9748172693002187,10.260300629993168,sell,0.014982276624777947,0.12849006070124216,0.11660261146279549
"Queen Creek, AZ",5.553651962724506,0.037074993077224394,10.421108468097051,buy,0.010200356019927996,0.06826442527546478,0.14942418366179597
"Clermont, FL",5.845291385308507,0.9728768162263726,9.396377367118891,buy,0.007914865709618142,0.06573912441919938,0.12039810051541504
"Prosper, TX",7.025210088447606,0.9630755371668251,10.620804333013535,buy,0.011504014607165096,0.0661697421618363,0.1738561195996331
"Post Falls, ID",7.1827767363617845,0.9655089904069819,9.634458299232108,buy,0.013374408378706468,0.06051695823867942,0.22100265393309562
"Clayton, NC",4.397973430497344,0.9738885176097574,7.372173254433267,sell,0.00850676527172872,0.07466191781767803,0.11393713850884415
"Port St. Lucie, FL",1.886423216431355,0.15189517298526167,12.018779801431423,sell,0.00987413547318321,0.028523628631641238,0.3461738897494213
"Pooler, GA",8.333124362456095,0.9453322049319546,7.583391178671861,sell,0.006189922778832388,0.07068284183491917,0.08757320189939512
"Pickerington, OH",7.561305025296318,0.9583516376715256,8.916541619962803,buy,0.011157926868090756,0.07868267653919148,0.14180919306339362
"Conroe, TX",2.992860101533922,0.9848230685523521,6.2832704847185505,sell,0.011110046550927628,0.06587517547627851,0.16865300882467218
"Perry, GA",3.939348841668379,0.9814924564129454,4.017805006815234,buy,0.032703473700171924,0.16034087781976986,0.20396217199791095
"Redmond, WA",13.610616555528516,0.8356637182240264,10.099550718039962,sell,0.015190693898594686,0.1071477749337971,0.14177330241323716
"Canton, GA",4.024079289676527,0.238698073330049,9.664389992114542,sell,0.014368428593424501,0.08313113497409591,0.17284051995563127
"Commerce City, CO",3.3233946052298124,0.9895034709323203,8.217186645308615,sell,0.007866636289295856,0.038279967944525504,0.2055026874812438
