city,mape,r2,annual_growth_rate,latest_signal,avg_expected_return,avg_risk,risk_adjusted_return
"Kiryas Joel, NY",114.09675571915892,-1.0,80.59656308646301,buy,0.266702291554486,0.7543596936854844,0.3535479079634951
"North Port, FL",3.7998919858609397,0.9911813673773566,10.702961640738739,sell,0.14440888769763488,0.5186045895744203,0.27845663266524573
"Auburn, AL",2.7646803720704214,0.35459843018458115,11.78715574451168,sell,0.10850448878738243,0.28165255402567363,0.38524233931673085
"Mesquite, NV",15.25502238814845,0.8364423110693865,10.607389816621016,sell,0.08919466632788757,0.42237980403104364,0.21117171199154217
"Kingman, AZ",6.545115092910282,0.9578282116779007,6.329985623832579,sell,0.05499559054837088,0.17192282042424417,0.31988534397389123
"Harrison, NY",28.96773071092395,0.21135684203049998,5.9766186034180935,sell,0.05297554560924336,0.33188158649412514,0.15962182828176014
"Leesburg, FL",5.61342620122372,0.9832093591690481,13.557309231577918,sell,0.05272614690889463,0.24931075594482444,0.21148765406881834
"Hurricane, UT",17.28760855973397,0.8407704313246499,9.174796931578367,sell,0.04245731982844631,0.23404201378226905,0.18140896645994792
"Tuscaloosa, AL",9.099021513255796,0.8760268029650877,-4.097028582800954,sell,0.03945509977059582,0.15309573190359455,0.2577152170084073
"Cedar City, UT",9.273245853658004,0.9417002814950667,19.405403583696092,buy,0.03813850888073006,0.18876207968563466,0.2020453946271737
