city,mape,r2,annual_growth_rate,latest_signal,avg_expected_return,avg_risk,risk_adjusted_return
"Kiryas Joel, NY",114.09675571915892,-1.0,80.59656308646301,buy,0.266702291554486,0.7543596936854844,0.3535479079634951
"Cedar City, UT",9.273245853658004,0.9417002814950667,19.405403583696092,buy,0.03813850888073006,0.18876207968563466,0.2020453946271737
"Gainesville, GA",6.206493156525501,0.9705733500221604,16.354776923757044,sell,0.018566240387944057,0.12517248965106742,0.14832524654338639
"Opelika, AL",4.056477671422492,0.9683655898612579,16.06953206166615,sell,0.03394505947186056,0.19532543929850782,0.1737871912320838
"West Palm Beach, FL",7.844271800008984,0.058921676458308925,15.778855319277007,buy,0.01865528860418418,0.09909949721705658,0.1882480651069672
"Caldwell, ID",2.618630451727919,0.28835760464214333,14.351880092981318,sell,0.011688665361655816,0.04134259537966581,0.28272693705642
"Nampa, ID",3.028317046079515,0.9946812605280431,13.749374203136666,sell,0.013745467030703526,0.04025035332079242,0.34149928874296187
"Leesburg, FL",5.61342620122372,0.9832093591690481,13.557309231577918,sell,0.05272614690889463,0.24931075594482444,0.21148765406881834
"Redmond, OR",3.803856657346864,0.37361975661760916,13.181000606804648,sell,0.014636805794836004,0.05027292230720036,0.2911469061892915
"Palm Bay, FL",1.4023465287362458,0.9981993541724447,12.922191679205298,buy,0.009364122997211573,0.031790184944879785,0.29456019250746085
